Date,Product,Sales,Price
01-06-2024,iPhone,25,1000
02-06-2024,Samsung,30,900
03-06-2024,Motorola,15,700
04-06-2024,OnePlus,20,800
05-06-2024,Nokia,10,500
06-06-2024,iPhone,28,1000
07-06-2024,Samsung,35,900
08-06-2024,Motorola,18,700
09-06-2024,OnePlus,22,800
10-06-2024,Nokia,12,500
11-06-2024,iPhone,30,1000
12-06-2024,Samsung,40,900
13-06-2024,Motorola,20,700
14-06-2024,OnePlus,25,800
15-06-2024,Nokia,15,500
16-06-2024,iPhone,32,1000
17-06-2024,Samsung,38,900
18-06-2024,Motorola,22,700
19-06-2024,OnePlus,28,800
20-06-2024,Nokia,18,500
21-06-2024,iPhone,35,1000
22-06-2024,Samsung,45,900
23-06-2024,Motorola,25,700
24-06-2024,OnePlus,30,800
25-06-2024,Nokia,20,500
26-06-2024,iPhone,38,1000
27-06-2024,Samsung,50,900
28-06-2024,Motorola,28,700
29-06-2024,OnePlus,35,800
30-06-2024,Nokia,25,500
01-07-2024,iPhone,40,1000
02-07-2024,Samsung,55,900
03-07-2024,Motorola,30,700
04-07-2024,OnePlus,38,800
05-07-2024,Nokia,30,500
06-07-2024,iPhone,45,1000
07-07-2024,Samsung,60,900
08-07-2024,Motorola,32,700
09-07-2024,OnePlus,40,800
10-07-2024,Nokia,35,500
11-07-2024,iPhone,48,1000
12-07-2024,Samsung,65,900
13-07-2024,Motorola,35,700
14-07-2024,OnePlus,42,800
15-07-2024,Nokia,40,500
16-07-2024,iPhone,50,1000
17-07-2024,Samsung,70,900
18-07-2024,Motorola,38,700
19-07-2024,OnePlus,45,800
20-07-2024,Nokia,45,500
